customer_id,first_name,last_name,full_name,email,country,country_code,street,credit_provider,four_digits
254116,Alvin,Franks,Alvin Franks,Alvinf@gmail.com,Uganda,UGA,359 Yang Prairie,Discover,1814
70051,Donald,Goodale,Donald Goodale,Donaldg@gmail.com,Lao People's Democratic Republic,LAO,51983 Christopher Forest,Diners Club / Carte Blanche,9089
525111,Jacqueline,Siegel,Jacqueline Siegel,Jacquelines@gmail.com,Armenia,ARM,360 Alvarado River,Maestro,2116
355525,Darrell,Adams,Darrell Adams,Darrella@gmail.com,Burkina Faso,BUR,6875 Patrick Trail Suite 578,VISA 13 digit,3801
63842,Joseph,Brinegar,Joseph Brinegar,Josephb@gmail.com,Christmas Island,CHR,6434 Brown Spurs,Diners Club / Carte Blanche,1020
447931,Philip,Gabaldon,Philip Gabaldon,Philipg@gmail.com,Botswana,BOT,7406 Larry Forges Suite 786,American Express,3241
364750,Troy,Miller,Troy Miller,Troym@gmail.com,Cook Islands,COO,957 Ellen Squares Suite 620,Diners Club / Carte Blanche,2238
511564,Sheri,Akridge,Sheri Akridge,Sheria@gmail.com,Cote d'Ivoire,COT,99156 Carey Spur Apt. 161,Diners Club / Carte Blanche,2411
913143,Nicholas,Nieman,Nicholas Nieman,Nicholasn@gmail.com,British Indian Ocean Territory (Chagos Archipelago),BRI,4883 Shane Flat Suite 646,JCB 16 digit,2971
426129,Diane,Garrett,Diane Garrett,Dianeg@gmail.com,Guinea,GUI,740 Veronica Views,VISA 13 digit,6891
452419,James,Swenson,James Swenson,Jamess@gmail.com,Albania,ALB,4162 Wheeler Meadows Apt. 821,Discover,1888
479632,Jerome,Hart,Jerome Hart,Jeromeh@gmail.com,Swaziland,SWA,4945 Robert Turnpike,Mastercard,9608
827501,Veronica,Willis,Veronica Willis,Veronicaw@gmail.com,French Polynesia,FRE,105 Rice Cliffs,VISA 13 digit,4699
718325,Olive,Mitchell,Olive Mitchell,Olivem@gmail.com,Palestinian Territory,PAL,2446 Schmidt Hollow Suite 710,Maestro,9104
571111,John,Welch,John Welch,Johnw@gmail.com,Andorra,AND,80264 Rodgers Lake Apt. 266,Discover,1870
956027,Danilo,Hicks,Danilo Hicks,Daniloh@gmail.com,Belize,BEL,235 Patricia Lights,Discover,3492
555392,Ronald,Puckett,Ronald Puckett,Ronaldp@gmail.com,Swaziland,SWA,0598 Johnson Greens Suite 454,Discover,2777
371187,Victor,Abney,Victor Abney,Victora@gmail.com,Belize,BEL,4448 Rebecca Corner Suite 771,VISA 19 digit,2429
832576,Jim,Shelton,Jim Shelton,Jims@gmail.com,Djibouti,DJI,5709 Kramer Avenue Apt. 499,VISA 13 digit,5944
910270,Anne,Mutter,Anne Mutter,Annem@gmail.com,Bermuda,BER,99565 Carol Summit,VISA 16 digit,2517
507448,Marsha,Black,Marsha Black,Marshab@gmail.com,San Marino,SAN,78075 Lisa Mount Apt. 568,VISA 19 digit,3860
596524,Stewart,Rule,Stewart Rule,Stewartr@gmail.com,Kazakhstan,KAZ,29892 Cooper Terrace Suite 951,VISA 19 digit,4177
63280,Melinda,Reeves,Melinda Reeves,Melindar@gmail.com,Christmas Island,CHR,866 Chavez Skyway Suite 501,Discover,3945
185678,Herman,Daniel,Herman Daniel,Hermand@gmail.com,Turkey,TUR,708 Anthony Plaza Suite 417,VISA 13 digit,6908
72052,Herbert,Weaver,Herbert Weaver,Herbertw@gmail.com,Portugal,POR,128 Mckee Rue,Mastercard,3332
80109,Jane,Barrentine,Jane Barrentine,Janeb@gmail.com,Timor-Leste,TIM,7443 Katelyn Green,Diners Club / Carte Blanche,6705
930930,Julia,Sandoval,Julia Sandoval,Julias@gmail.com,Czech Republic,CZE,25383 Obrien Fords Apt. 566,JCB 15 digit,7628
627377,Charity,Clark,Charity Clark,Charityc@gmail.com,Philippines,PHI,48469 Ingram Cliffs,JCB 16 digit,4194
415268,Dianne,Engle,Dianne Engle,Diannee@gmail.com,Honduras,HON,5290 Walters Crest Apt. 815,Discover,1441
