employee_id,first_name,last_name,full_name,email,city,department
1410,Jeffrey,Blackman,Jeffrey Blackman,Jeffreyb@gmail.com,New Kristinfurt,Marketing
2537,Thomas,Huynh,Thomas Huynh,Thomash@gmail.com,Crystalburgh,Finance
516,Kevin,Luce,Kevin Luce,Kevinl@gmail.com,Amybury,Marketing
864,Florene,Mcdaniel,Florene Mcdaniel,Florenem@gmail.com,Roweborough,Marketing
345,Christine,Ennis,Christine Ennis,Christinee@gmail.com,Kristinville,Finance
3688,Lydia,Griess,Lydia Griess,Lydiag@gmail.com,South Jeremyland,Sales
1552,Mary,Obradovich,Mary Obradovich,Maryo@gmail.com,Adamtown,BI
3642,Eddie,Simms,Eddie Simms,Eddies@gmail.com,Brownland,Sales
2692,Helen,Rauser,Helen Rauser,Helenr@gmail.com,West Andrew,BI
772,Darryl,Likens,Darryl Likens,Darryll@gmail.com,New Tracytown,Marketing
2845,William,Hall,William Hall,Williamh@gmail.com,Lake Randyberg,BI
10,Dorothy,Vannatten,Dorothy Vannatten,Dorothyv@gmail.com,Brettmouth,BI
371,Lucille,Day,Lucille Day,Lucilled@gmail.com,South Melanie,Marketing
538,Charles,Wheatley,Charles Wheatley,Charlesw@gmail.com,Lake Philip,Marketing
1379,Margaret,Delong,Margaret Delong,Margaretd@gmail.com,Chamberston,Finance
952,Pamela,Hale,Pamela Hale,Pamelah@gmail.com,Port Jennifer,BI
1973,Timothy,Beaver,Timothy Beaver,Timothyb@gmail.com,New Raymond,BI
2694,George,Neill,George Neill,Georgen@gmail.com,Gregoryhaven,Sales
87,Fred,Hicks,Fred Hicks,Fredh@gmail.com,New Steven,Marketing
3203,David,Felix,David Felix,Davidf@gmail.com,East Cynthia,Sales
2133,Isaac,Martin,Isaac Martin,Isaacm@gmail.com,Christopherborough,BI
2936,Jerome,Williams,Jerome Williams,Jeromew@gmail.com,Judyville,BI
2476,Michael,Tracy,Michael Tracy,Michaelt@gmail.com,Lake Samueltown,Finance
1576,Albert,Brown,Albert Brown,Albertb@gmail.com,Escobarborough,Marketing
3945,Ethel,Silva,Ethel Silva,Ethels@gmail.com,Lake Michelleport,Marketing
1949,George,Gray,George Gray,Georgeg@gmail.com,Gibsonville,BI
1214,Reba,Yielding,Reba Yielding,Rebay@gmail.com,Lake Jonathan,Sales
1964,Laura,Liestman,Laura Liestman,Laural@gmail.com,Jasonchester,BI
551,Wilbert,Tran,Wilbert Tran,Wilbertt@gmail.com,Rachaelside,Finance
2009,Ryan,Rowland,Ryan Rowland,Ryanr@gmail.com,North Matthew,Sales
2444,Rebecca,Marshburn,Rebecca Marshburn,Rebeccam@gmail.com,North Riley,Finance
3730,Larry,Daisy,Larry Daisy,Larryd@gmail.com,Port Zacharyfurt,Finance
